Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2010,NCI,7P01CA130821-03,0002,"Cross Regulation of TGFB/elf, B-catenin and Vitamin D Pathways in Gastrointestina","BYERS, STEPHEN",GEORGETOWN UNIVERSITY,DC,"$224,740"
Liver Cancer,2010,NCI,7P01CA130821-03,0003,Cellular Interactions between TGF-B Pathway Members and TERT and c-Myc in Gastroi,"MISHRA, BIBHUTI",GEORGETOWN UNIVERSITY,DC,"$226,406"
Liver Cancer,2010,NCI,3R25CA129042-03S1,,Asian American Liver Cancer Education Program in  Maryland,"JUON, HEE-SOON",JOHNS HOPKINS UNIVERSITY,MD,"$54,509"
Liver Cancer,2010,NIDDK,1R56DK090350-01,,Development of MR-based biomarker panels for NAFLD - A NASH CRN Ancillary Study,"SIRLIN, CLAUDE",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$597,273"
Liver Cancer,2010,NIDDK,3P30DK041296-22S1,,Liver Pathobiology and Gene Theraphy Research Core Center,"SHAFRITZ, DAVID",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$99,919"
Liver Cancer,2010,NIDDK,1ZIADK054509-13,,Immunology of Acute and Chronic Viral Hepatitis in Humans,"REHERMANN, BARBARA",NIH,,"$543,182"
Liver Cancer,2010,NIDDK,1ZIADK056012-04,,Functions of SMAD4 in development and cancers,"DENG, CHUXIA",NIH,,"$330,677"
Liver Cancer,2010,NIDDK,1ZIADK075013-05,,"Nonalcoholic Steatohepatitis: Natural History, Pathogenesis and Therapy","LIANG, T. JAKE",NIH,,"$389,808"
Liver Cancer,2010,NIEHS,1ZIAES102925-01,,Inorganics as Early Life Carcinogens,"WAALKES, MICHAEL",NIH,,"$665,404"
Liver Cancer,2010,NINR,1ZIANR000018-02,,Symptom Distress Mechanisms in Digestive Disorders,"HENDERSON, WENDY",NIH,,"$149,903"
Liver Cancer,2010,NCI,5P01CA109091-05,0002,Community-based Hep B Intervention for Hmong Adults,"CHEN, MOON",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$379,042"
Liver Cancer,2010,NIAID,1ZIAAI000999-04,,Molecular Mechanisms of Pathogenesis of Acute and Chronic Liver Diseases,"FARCI, PATRIZIA",NIH,,"$551,347"
Liver Cancer,2010,NIAID,1ZIAAI001015-04,,Pathogenesis of Parenteral Viral Hepatitis,"PURCELL, ROBERT",NIH,,"$706,246"
Liver Cancer,2010,NCI,1ZIABC005177-30,,Interaction of Chemical Carcinogens and Chemotherapeutic Agents with DNA,"POIRIER, MIRIAM",NIH,,"$832,354"
Liver Cancer,2010,NCI,1ZIABC005317-27,,Role of Selenium in Development and Health,"HATFIELD, DOLPH",NIH,,"$382,855"
Liver Cancer,2010,NCI,1ZIABC005352-28,,Mechanisms in Perinatal Carcinogenesis,"ANDERSON, LUCY",NIH,,"$708,799"
Liver Cancer,2010,NCI,1ZIABC005453-26,,Cellular and Molecular Biology of the Hepatic Stem Cell Compartment,"THORGEIRSSON, SNORRI",NIH,,"$400,949"
Liver Cancer,2010,NCI,1ZIABC005488-25,,Mechanisms of Inorganic Carcinogenesis,"WAALKES, MICHAEL",NIH,,"$828,727"
Liver Cancer,2010,NCI,1ZIABC005708-19,,Xenobiotic Receptors,"GONZALEZ, FRANK",NIH,,"$1,350,062"
