Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Colo-Rectal Cancer,2009,NCI,2P01CA098101-06A1,8723,Protein Ubiquitylation in Esophageal Cancer,"DIEHL, J.",UNIVERSITY OF PENNSYLVANIA,PA,"$305,039"
Colo-Rectal Cancer,2009,NCI,5R01CA134275-02,,Understanding Mechanisms of Ethnic Disparities in Colorectal Cancer Screening,"GOODWIN, JAMES",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$313,325"
Colo-Rectal Cancer,2009,NCI,5R33CA120917-03,,Texture-Based CAD for Cancer Screening from 3D Images,"LIANG, JEROME",STATE UNIVERSITY NEW YORK STONY BROOK,NY,"$246,087"
Colo-Rectal Cancer,2009,NCI,1R21CA131611-01A2,,Changes in Physical Activity and Diet in Colorectal Cancer Survivors,"COUPS, ELLIOT",FOX CHASE CANCER CENTER,PA,"$219,155"
Colo-Rectal Cancer,2009,NCI,1R21CA131763-01A1,,Histopathologic and Immunohistochemical Features of Tissue Adherent to the Electr,"SOFOCLEOUS, CONSTANTINOS",SLOAN-KETTERING INSTITUTE FOR CANCER RES,NY,"$250,272"
Colo-Rectal Cancer,2009,NIGMS,5R01GM080477-02,,Molecular Mechanisms of Chromosome Segregation in Yeast,"GERTON, JENNIFER",STOWERS INSTITUTE FOR MEDICAL RESEARCH,MO,"$304,088"
Colo-Rectal Cancer,2009,NCI,1R03CA136113-01A1,,Vitamin D/Calcium and Oxidative Stress and Inflammation Biomarkers,"BOSTICK, ROBERD",EMORY UNIVERSITY,GA,"$77,500"
Colo-Rectal Cancer,2009,NCI,5R01CA123065-03,,Prevention of APC-Dependent Intestinal Carcinogenesis,"GERNER, EUGENE",UNIVERSITY OF ARIZONA,AZ,"$286,900"
Colo-Rectal Cancer,2009,NCI,5R01CA073709-11,,Topoisomerase I Inhibitors in Leukemia and Solid Tumors,"KAUFMANN, SCOTT","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$221,813"
Colo-Rectal Cancer,2009,NCI,5K24CA080846-09,,Cancer Chemoprevention and Mentoring Clinical Researchers,"RUFFIN, MACK",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$178,529"
Colo-Rectal Cancer,2009,NCI,5R01CA124763-04,,The Role of Dopamine in Colon Cancer Neovascularization,"BASU, SUJIT",OHIO STATE UNIVERSITY,OH,"$282,910"
Colo-Rectal Cancer,2009,NCI,5R01CA120915-03,,Prevention of Colon Cancer by Epigallocatechin Gallate and Atorvastatin,"YANG, CHUNG",RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NJ,"$291,778"
Colo-Rectal Cancer,2009,NCI,1K07CA133187-01A1,,Optimizing Treatment of Rectal Cancer Using a Markov Decision Model,"CHANG, GEORGE",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$170,640"
Colo-Rectal Cancer,2009,NIAID,1K08AI078942-01A1,,Disease Initation and the role of DCs in the TRUC Model of ulcerative colitis,"GARRETT, WENDY",DANA-FARBER CANCER INSTITUTE,MA,"$130,140"
Colo-Rectal Cancer,2009,NCI,1R03CA139528-01,,Novel Molecular Target of Colon Cancer Chemoprevention by Polyethylene Glycol,"WALI, RAMESH",NORTHSHORE UNIV HEALTHSYSTEM RES INST,IL,"$76,250"
Colo-Rectal Cancer,2009,NCI,5R01CA120237-04,,Novel Molecular Markers of Human Colon Neoplasia,"MARKOWITZ, SANFORD",CASE WESTERN RESERVE UNIVERSITY,OH,"$239,656"
Colo-Rectal Cancer,2009,NCI,5K07CA122826-03,,Molecular Epidemiology of Colorectal Cancer,"OGINO, SHUJI",DANA-FARBER CANCER INSTITUTE,MA,"$138,780"
Colo-Rectal Cancer,2009,NCI,5R01CA124862-03,,Colorectal Neoplasia in SELECT Participants,"LANCE, M",UNIVERSITY OF ARIZONA,AZ,"$517,442"
Colo-Rectal Cancer,2009,NCI,5U10CA063847-16,,MAIN LINE HEALTH CCOP,"GILMAN, PAUL",LANKENAU INSTITUTE FOR MEDICAL RESEARCH,PA,"$410,000"
Colo-Rectal Cancer,2009,NCI,5R01CA106773-04,,Adherence and the Economics of Colon Cancer Screening,"INADOMI, JOHN",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$153,810"
Colo-Rectal Cancer,2009,NCI,5R01CA112387-05,,Enhancing Colorectal CA Screening through Learning Teams,"CRABTREE, BENJAMIN",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$693,460"
Colo-Rectal Cancer,2009,NCI,5R01CA120658-03,,Patient Navigation for CRC Screening with Low-Income Minorities,"REDD, WILLIAM",MOUNT SINAI SCHOOL OF MEDICINE OF NYU,NY,"$620,932"
Colo-Rectal Cancer,2009,NCI,5R01CA121023-03,,A Physician-Based Trial to Increase Colorectal Cancer Screening in Chinese,"LIANG, WENCHI",GEORGETOWN UNIVERSITY,DC,"$539,827"
Colo-Rectal Cancer,2009,NCI,5R01CA124607-02,,Appraisal and Diagnostic Delay in Colon Cancer,"SIMINOFF, LAURA",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$681,467"
Colo-Rectal Cancer,2009,NCI,1R03CA137825-01A1,,Barriers to CRC in patients with mental illness.,"AGGARWAL, ARPITA",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$81,655"
